Genus	Specific Epithet	Name	Host family	Hosts	Type Host Species Name	Mycorrhizae	Tree	Deciduous_Evergreen	Photosynthesis		
Peronospora	atriplicis-hortensis	Peronospora atriplicis-hortensis	Amaranthaceae	Atriplex hortensis	Atriplex hortensis		No	NA	C3		
Peronospora	axyridis	Peronospora axyridis	Amaranthaceae	Axyris amaranthoides	Axyris amaranthoides		No	NA	C3		
Peronospora	beccarii	Peronospora beccarii	Geraniaceae	Geranium dissectum	Geranium dissectum		No	NA	C3		
Peronospora	belbahrii	Peronospora belbahrii	Lamiaceae	"Ocium basilicum, Lavandula angustifolia"	Ocium basilicum		No	NA	C3		
Peronospora	bocconiae	Peronospora bocconiae	Papaveraceae	Bocconia frutescens	Bocconia frutescens		No	NA	C3		
Peronospora	boehmeriae	Peronospora boehmeriae	Urticaceae	Boehmeria japonica	Boehmeria japonica		No	NA	C3		
Peronospora	bohemica	Peronospora bohemica	Amaranthaceae		Chenopodium ficifolium		No	NA	C3		
Peronospora	boni-henrici	Peronospora boni-henrici	Amaranthaceae	Chenopodium bonus-henricus	Chenopodium bonus-henricus		No	NA	C3		
Peronospora	borealis	Peronospora borealis	Rubiaceae	"P. calotheca, Galium boreale"	Galium boreale		No	NA	C3		
Peronospora	bothriospermi	Peronospora bothriospermi	Boraginaceae	Bothriospermum tenellum	Bothriospermum tenellum		No	NA	C3		
Peronospora	bulbocapni	Peronospora bulbocapni	Papaveraceae	Corydalis cava	Corydalis cava		No	NA	C3		
Peronospora	calaminthae	Peronospora calaminthae	Lamiaceae	Clinopodium acinos [Acinos arvensis (Calamintha acinos)]	Clinopodium acinos		No	NA	C3		
Peronospora	calandriniae	Peronospora calandriniae	Portulacaceae	Cistanthe picta (Calandrinia ‘portulacoides’)	Cistanthe picta		No	NA	C3		
Peronospora	calotheca	Peronospora calotheca	Rubiaceae	Galium odoratum	Galium odoratum		No	NA	C3		
Peronospora	campestris	Peronospora campestris	Caryophyllaceae	"Arenaria serpyllifolia, A. ciliata"	Arenaria serpyllifolia		No	NA	C3		
